ref,hyp,wer,cer,duration_sec,n_ref_words
concord returned to its place amidst the tents,concord returned to its place amidst the tents,0.0,0.0,3.505,8
the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day,0.0,0.0,14.225,43
congratulations were poured in upon the princess everywhere during her journey,congratulations were poured in upon the princess everywhere during her journey,0.0,0.0,5.025,11
from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france,0.0,0.0,23.315,64
she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened before them,she taught her daughter then by her own affection for it that love for a country where they had both been hospitably received and where a brilliant future opened for them,0.0323,0.0173,11.065,31
the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs,0.0,0.0,13.16,33
this has indeed been a harassing day continued the young man his eyes fixed upon his friend,this has indeed been a harassing day continued the young man his eyes fixed upon his friend,0.0,0.0,5.85,17
you will be frank with me i always am,you will be frank with me i always am,0.0,0.0,3.315,9
can you imagine why buckingham has been so violent i suspect,can you imagine why buckingham has been so violent i suspect,0.0,0.0,4.785,11
it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,it is you who are mistaken raoul i have read his distress in his eyes in his every gesture and action the whole day,0.0,0.0,7.28,24
i can perceive love clearly enough,i can perceive love clearly enough,0.0,0.0,3.035,6
i am convinced of what i say said the count,i am convinced of what i say said the count,0.0,0.0,3.195,10
it is annoyance then,it is annoyance then,0.0,0.0,1.94,4
in those very terms i even added more,in those very terms i even added more,0.0,0.0,2.94,8
but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,but continued rao not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance,0.0233,0.0079,16.84,43
thus it is that the honor of three is saved our countrys our masters and our own,thus it is that the honour of three is saved our country our masters and our own,0.1176,0.025,6.38,17
yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,yes i need repose many things have agitated me to day both in mind and body when you return to morrow i shall no longer be the same man,0.0,0.0,10.015,29
but in this friendly pressure raoul could detect the nervous agitation of a great internal conflict,but in this friendly pressure rao could detect the nervous agitation of a great internal conflict,0.0625,0.0202,6.16,16
the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,the night was clear starl and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere,0.0385,0.0128,10.81,26
upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones,upon the large square in front of the hotel the shadows of the tents intersected by the golden moon beams formed as it were a huge mosaic of jet and yellow flagstones,0.0645,0.0061,11.645,31
bragelonne watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,bragolon watched for some time the conduct of the two lovers listened to the loud and uncivil slumbers of manakamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,0.0526,0.0236,14.4,38
goliath makes another discovery,goliath makes another discovery,0.0,0.0,3.025,4
they were certainly no nearer the solution of their problem,they were certainly no near the solution of their problem,0.1,0.0339,3.2,10
the poor little things cried cynthia think of them having been turned to the wall all these years,the poor little things cried cynthia think of them having been turned to the wall all these years,0.0,0.0,5.56,18
now what was the sense of it two innocent babies like that,now what is the sense of it two innocent babies like that,0.0833,0.0345,3.385,12
but joyce had not been listening all at once she put down her candle on the table and faced her companion,but joyce had not been listening all at once she put down her candle on the table and faced her companion,0.0,0.0,6.15,21
the twin brother did something she didnt like and she turned his picture to the wall,the twin brother did something she didnt like and she turned his picture to the wall,0.0,0.0,5.035,16
hers happened to be in the same frame too but she evidently didnt care about that,hers happened to be on the same frame too but she evidently didnt care about it,0.125,0.0494,4.455,16
now what have you to say cynthia sprague,now what have you to say cynthia sprague,0.0,0.0,2.82,8
i thought we were stumped again when i first saw that picture but its been of some use after all,i thought we were stumped again when i first saw that picture but its been of some use after all,0.0,0.0,5.185,20
do you suppose the miniature was a copy of the same thing,do you suppose the miniature was a copy of the same thing,0.0,0.0,3.405,12
what in the world is that queried joyce,what in the world is it queried joyce,0.125,0.0769,2.69,8
they worry me terribly and besides id like to see what this lovely furniture looks like without such quantities of dust all over it good scheme cyn,they worry me terribly and besides id like to see what this lovely furniture looks like without such quantities of dust all over it good scheme sin,0.037,0.0136,9.24,27
well come in here this afternoon with old clothes on and have a regular house cleaning,will come in here this afternoon with old clothes on and have a regular house cleaning,0.0625,0.0116,4.655,16
it cant hurt anything im sure for we wont disturb things at all,it cant hurt anything im sure for we wont disturb things at all,0.0,0.0,4.305,13
this thought however did not enter the heads of the enthusiastic pair,this thought however did not enter the heads of the enthusiastic pair,0.0,0.0,4.72,12
smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit,smuggling the house cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisk broom and dust pan to the outfit,0.0,0.0,12.405,29
the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthias delight when she caught sight of him,the lure proved too much for him and he came sporting after it as friskily as a young kitten much to cynthias delight when she caught sight of him,0.0,0.0,9.205,29
oh let him come along she urged i do love to see him about that old house,oh let him come along she urged i do love to see him about that old house,0.0,0.0,5.41,17
he makes it sort of cozier,he makes it sort of cosier,0.1667,0.0385,2.14,6
now lets dust the furniture and pictures,now lets dust the furniture and pictures,0.0,0.0,2.575,7
yet little as it was it had already made a vast difference in the aspect of the room,yet little as it was it had already made a vast difference in the aspect of the room,0.0,0.0,6.315,18
surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish,surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish,0.0,0.0,7.355,21
then she suddenly remarked,then she suddenly remarked,0.0,0.0,1.895,4
and my pocket money is getting low again and you havent any left as usual,and my pocket money is getting low again and you havent any left as usual,0.0,0.0,4.85,15
they say illumination by candle light is the prettiest in the world,they say illumination by candlelight is the prettiest in the world,0.1667,0.0149,4.05,12
why its goliath as usual they both cried peering in,why its goliath as usual they both cried peering in,0.0,0.0,4.12,10
isnt he the greatest for getting into odd corners,isnt he the greatest for getting into odd corners,0.0,0.0,3.085,9
forgetting all their weariness they seized their candles and scurried through the house finding an occasional paper tucked away in some odd corner,forgetting all their weariness they seized their candles and scurried through the house finding on occasional paper tucked away in some odd corner,0.0435,0.0068,8.27,23
well im convinced that the boarded up house mystery happened not earlier than april sixteenth eighteen sixty one and probably not much later,well im convinced that the boarded up house mystery happened not earlier than april sixteenth eighteen sixty one and probably not much later,0.0,0.0,9.875,23
no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality,no words were spoken no language was uttered save that of wailing and hissing and that somehow was indistinct as if it existed in fancy and not in reality,0.0,0.0,12.895,29
i heard a noise behind i turned and saw kaffar his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me,i heard a noise behind i turned and saw kafir his black eyes shining while in his hand he held a gleaming knife he lifted it above his head as if to strike but i had the strength of ten men and i hurled him from me,0.0213,0.0093,17.485,47
onward said a distant voice,onward said a distant voice,0.0,0.0,3.305,5
no sound broke the stillness of the night,no sound broke the stillness of the night,0.0,0.0,3.295,8
the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said,the story of its evil influence came back to me and in my bewildered condition i wondered whether there was not some truth in what had been said,0.0,0.0,9.56,28
what was that,what was that,0.0,0.0,1.815,3
what then a human hand large and shapely appeared distinctly on the surface of the pond,what then a human hand large and shapely appeared distinctly on the surface of the pond,0.0,0.0,6.8,16
nothing more not even the wrist to which it might be attached,nothing more not even the wrist to which it might be attached,0.0,0.0,4.365,12
it did not beckon or indeed move at all it was as still as the hand of death,it did not beckon or indeed move at all it was as still as the hand of death,0.0,0.0,6.055,18
i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was kaffar,i awoke to consciousness fighting at first it seemed as if i was fighting with a phantom but gradually my opponent became more real to me it was kafir,0.0345,0.0132,12.015,29
a sound of voices a flash of light,a sound of voices a flash of light,0.0,0.0,3.835,8
a feeling of freedom and i was awake where,a feeling of freedom and i was awake where,0.0,0.0,4.7,9
said another voice which i recognized as voltaires kaffar,said another voice which i recognized as voltaires caffer,0.1111,0.0351,4.43,9
i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand,i had scarcely known what i had been saying or doing up to this time but as he spoke i looked at my hand,0.0,0.0,7.325,24
in the light of the moon i saw a knife red with blood and my hand too was also discoloured,in the light of the moon i saw a knife red with blood and my hand too was also discoloured,0.0,0.0,7.41,20
i do not know i am dazed bewildered,i do not know i am dazed bewildered,0.0,0.0,3.73,8
but that is kaffars knife,but that is cafirs knife,0.2,0.12,2.16,5
i know he had it this very evening,i know he had it this very evening,0.0,0.0,2.34,8
i remember saying have we been together,i remembered saying have we been together,0.1429,0.0513,2.93,7
voltaire picked up something from the ground and looked at it,voltaire picked up something from the ground and looked at it,0.0,0.0,3.38,11
i say you do know what this means and you must tell us,i say you do know what this means and you must tell us,0.0,0.0,5.0,13
a terrible thought flashed into my mind,a terrible thought flashed into my mind,0.0,0.0,3.225,7
i had again been acting under the influence of this mans power,i had again been acting under the influence of this mans power,0.0,0.0,4.34,12
perchance too kaffars death might serve him in good stead,perchance too kafirs death might serve him in good stead,0.1,0.0351,4.885,10
my tongue refused to articulate my power of speech left me,my tongue refused to articulate my power of speech left me,0.0,0.0,5.05,11
my position was too terrible,my position was too terrible,0.0,0.0,2.53,5
my overwrought nerves yielded at last,my overwrought nerves yielded at last,0.0,0.0,3.075,6
for some time after that i remembered nothing distinctly,for some time after that i remembered nothing distinctly,0.0,0.0,3.85,9
notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur,notwithstanding the high resolution of hawkeye he fully comprehended all the difficulties and danger he was about to incur,0.0,0.0,7.835,19
in his return to the camp his acute and practised intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own,in his return to the camp his acute and practised intellects were intently engaged in devising means to counteract a watchfulness and suspicion on the part of his enemies that he knew were in no degree inferior to his own,0.0,0.0,14.055,40
in other words while he had implicit faith in the ability of balaams ass to speak he was somewhat skeptical on the subject of a bears singing and yet he had been assured of the latter on the testimony of his own exquisite organs,in other words while he had implicit faith in the ability of balaams ass to speak he was somewhat sceptical on the subject of a bears singing and yet he had been assured of the latter on the testimony of his own exquisite organs,0.0227,0.0044,13.585,44
there was something in his air and manner that betrayed to the scout the utter confusion of the state of his mind,there was something in his air and manner that betrayed to the scout the utter confusion of the state of his mind,0.0,0.0,6.285,22
the ingenious hawkeye who recalled the hasty manner in which the other had abandoned his post at the bedside of the sick woman was not without his suspicions concerning the subject of so much solemn deliberation,the ingenious hawkeye who recalled the hasty manner in which the other had abandoned his post at the bedside of the sick woman was not without his suspicions concerning the subject of so much solemn deliberation,0.0,0.0,12.26,36
the bear shook his shaggy sides and then a well known voice replied,the bear shook his shaggy sides and then a well known voice replied,0.0,0.0,4.4,13
can these things be returned david breathing more freely as the truth began to dawn upon him,can these things be returned david breathing more freely as the truth began to dawn upon him,0.0,0.0,5.655,17
come come returned hawkeye uncasing his honest countenance the better to assure the wavering confidence of his companion you may see a skin which if it be not as white as one of the gentle ones has no tinge of red to it that the winds of the heaven and the sun have not bestowed now let us to business,come come returned hawkeye uncasing his honest countenance the better to assure the wavering confidence of his companion you may see a skin which if it be not as white as one of the gentle ones has no tinge of red to it that the winds of the heaven and the sun have not bestowed now let us to business,0.0,0.0,18.525,60
the young man is in bondage and much i fear his death is decreed,the young man is in bondage and much i fear his death is decreed,0.0,0.0,4.185,14
i greatly mourn that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him,i greatly mourn that one so well disposed should die in his ignorance and i have sought a goodly hymn can you lead me to him,0.0,0.0,7.705,26
the task will not be difficult returned david hesitating though i greatly fear your presence would rather increase than mitigate his unhappy fortunes,the task will not be difficult returned david hesitating though i greatly fear your presence would rather increase than mitigate his unhappy fortunes,0.0,0.0,10.0,23
the lodge in which uncas was confined was in the very center of the village and in a situation perhaps more difficult than any other to approach or leave without observation,the lodge in which uncas was confined was in the very centre of the village and in a situation perhaps more difficult than any other to approach or leave without observation,0.0323,0.0116,9.76,31
four or five of the latter only lingered about the door of the prison of uncas wary but close observers of the manner of their captive,four or five of the latter only lingered about the door of the prison of uncas wary but close observers of the manner of their captive,0.0,0.0,7.59,26
delivered in a strong tone of assent announced the gratification the savage would receive in witnessing such an exhibition of weakness in an enemy so long hated and so much feared,delivered in a strong tone of assent announced the gratification the savage would receive in witnessing such an exhibition of weakness in an enemy so long hated and so much feared,0.0,0.0,10.755,31
they drew back a little from the entrance and motioned to the supposed conjurer to enter,they drew back a little from the entrance and motioned to the supposed conjurer to enter,0.0,0.0,4.9,16
but the bear instead of obeying maintained the seat it had taken and growled,but the bear instead of obeying maintained the seat it had taken and growled,0.0,0.0,5.125,14
the cunning man is afraid that his breath will blow upon his brothers and take away their courage too continued david improving the hint he received they must stand further off,the cunning man is afraid that his breath will blow upon his brothers and take away their courage too continued david improving the hint he received they must stand further off,0.0,0.0,10.085,31
then as if satisfied of their safety the scout left his position and slowly entered the place,then as if satisfied of their safety the scout left his position and slowly entered the place,0.0,0.0,5.655,17
