ref,hyp,wer,cer,duration_sec,n_ref_words
в древнем китае использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особой династией,в древнем китае использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особой династией,0.0,0.0,16.92,21
мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,0.0,0.0,11.52,14
во всех научных вопросах включая психологию были приняты взгляды аристотеля,во всех научных вопросах включая психологию были приняты взгляды аристотеля,0.0,0.0,8.64,10
в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией,в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией,0.0,0.0,7.92,17
причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана катрина который некоторые фискальные консерваторы в шутку назвали новоорлеанской сделкой буша,причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана катрина который некоторые фискальные консерваторы в шутку назвали новоорлеанской сделкой буша,0.0,0.0,19.44,26
в 1990 году он был добавлен в список всемирного наследия находящегося под угрозой изза опасности со стороны песков пустыни,в 1990 году он был добавлен в списк всемирного наследия находящегося под угрозой изза опасности со стороны песков пустыни,0.0526,0.0082,10.44,19
согласно ядерному управлению японии на заводе были обнаружены радиоактивный цезий и йод,согласно ядерному управлению японии на заводе были обнаружены радиоактивный цезий ид,0.1667,0.0345,7.2,12
надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путём активного отклика на интернетматериалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы оравек 2002,надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернетматериалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы аровек2002,0.0811,0.014,27.0,37
только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации гдето ещё могут привести к гибели клеток или раку,только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутация гдето еще может привести к гибели клеток или раку,0.125,0.0274,11.52,24
не оскверняйте это место нанося или выцарапывая граффити на объекты вокруг,не оскверняйте это место нанося или выцарапывая граффити на объекты вокруг,0.0,0.0,5.94,11
когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации то могут проявиться креативность и изобретательность,когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации то могут появиться креативность и изобретательность,0.0588,0.0065,15.12,17
серия asus eee pc ранее представленная во всём мире с ориентацией на такие факторы как экономия средств и функциональность стала горячей темой во время месяца информационных технологий в тайбэе в 2007 году,серия asus epc ранее представленная во всем мире с ориентацией на такие факторы как экономия средств и функциональность стала горячей темой во время месяца информационных технологий в тайбе в 2007 году,0.125,0.0244,16.32,32
переносчиками являются свиньи от которых через комаров болезнь затем передаётся человеку,переносчиками являются свиньи от которых через комыров болезнь затем передается человеку,0.1818,0.0227,7.92,11
также может быть выгодно купить wild card которая позволяет посещать национальные парки юар либо выборочно либо все,также может быть выгодно купить вилдкар которая позволяет посещать национальные парки юар либо выброшно либо все,0.1765,0.0957,9.18,17
только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации гдето ещё могут привести к гибели клеток или раку,только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации гдето еще могут привести к гибели клеток или раку,0.0417,0.0068,11.28,24
энергия кундалини энергия просветления в кундалинийоге пробуждается через позы йоги дыхательные упражнения мантры и визуализации,энергия кундалини энергия просветления в кундалине йоги пробуждается через позы йоги дыхательные упражнения мантры и визуализации,0.1333,0.0234,11.82,15
султан марокко перестроил город под названием эддарэльбейда а испанские торговцы создавшие тут торговые базы назвали его касабланка,султан марокко перестроил город под названием эддар эльбейда а испанские торговцы создавшие тут торговые базу назвали его касабланка,0.1765,0.0153,11.76,17
так же как луна притягивает землю при этом вызывая приливы так и млечный путь воздействует на галактику в стрельце,так же как луна притягивает землю при этом вызывая приливы так и млечный путь воздействовать на галактику в стрельце,0.0526,0.0351,8.28,19
в частности утверждается что можно определить лжет ли человек при помощи правильной интерпретации его микровыражений,в частности утверждается что можно определить лжет ли человек при помощи правильной интерпретации его микровыражений,0.0,0.0,8.34,15
53летний куомо начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце,53летний коома начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце,0.0455,0.0132,11.64,22
большинство зданий по краям комплекса было перестроено чтобы дать туристам более точное представление о том как они выглядели изначально,большинство зданий по краям комплекса было перестроено чтобы дать туристам более точное представление о том как они выглядели изначально,0.0,0.0,11.34,19
лаккха сингх исполнил чхаппан бхог бхаджан певец раджу кханделвал пел вместе с ним,лакхасинг исполнил чхапапан хокхаджан певец раджу ханделвал пел вместе с ним,0.4615,0.1098,8.88,13
показатель ph определяется степенью насыщенности ионами водорода h в ph исследуемого химического соединения,показатель ph определяется степенью насыщенности ионами водорода h в ph исследуемого химического соединения,0.0,0.0,9.72,13
в результате актёры курят косяки с марихуаной на сцене и сам театр поощряет публику присоединиться,в результате актеры курят косяки с марихуаной на сцене и сам театр поощряет публику присоединиться,0.0667,0.0102,7.56,15
обычные объявления в метро делаются только на каталонском языке но незапланированные перебои объявляются автоматизированной системой на самых разных языках включая испанский английский французский арабский и японский,обычные объявления в метро делаются только на каталонском языке но незапланированные перебои объявляются автоматизированной системой на самых разных языках включая испанский английский французский арабский и японский,0.0,0.0,17.46,26
учёные надеются понять как образуются планеты особенно то как образовалась земля поскольку кометы сталкивались с землёй очень давно,ученые надеются понять как образуются планеты особенно то как образовалась земля поскольку кометы сталкивались с землей очень давно,0.1111,0.0153,9.6,18
между 1000 и 1100 вечера по горному времени заключенные устроили пожар во дворе,между 10 и 11 вечера по горному времени заключенные устроили пожар во дворе,0.1538,0.0506,8.04,13
например ежегодно учащиеся школы беннет в северной каролине создают сайт о своём посещении столицы штата и каждый год этот сайт обновляется но доступ к старым версиям попрежнему сохраняется они служат памятным альбомом,например ежегодно учащиеся школы беннет в северной каролине создают сайт о своем посещении столицы штата и каждый год этот сайт обновляется но доступ к старым версиям попрежнему сохраняется они служат памятным альбомом,0.0312,0.0046,17.76,32
долина кочамо главное направление в чили для альпинизма она известна как йосмит южной америки и имеет большое количество больших гранитных стен и скал,долина кочама главное направление в чили для альпинизма она известна как юсмит южной америки и имеет большое количество больших гранитных стен и скал,0.087,0.02,11.88,23
начиная с 1988 года урны для избирательных бюллетеней должны быть прозрачными чтобы избиратели и наблюдатели могли убедиться в том что в начале голосования внутри нет конвертов и что к ним не добавлены какиелибо другие конверты кроме конвертов тех людей которых допустили к участию в голосовании и голоса которых подсчитали надлежащим образом,начиная с 1988 года урны для избирательных бюллетеней должны быть прозрачными чтобы избиратели и наблюдатели могли убедиться в том что в начале голосования внутри нет конвертов и что к ним не добавлены какиелибо другие конверты кроме конвертов тех людей которых допустили к участию в голосовании и голоса которых подсчитали надлежащим образом,0.0,0.0,33.84,51
чем ниже напряжение тем более позитивна присутствующая в вас жизненная сила каждому человеку потенциально дано обрести абсолютные покой и чувство удовлетворения,чем ниже напряжение тем более позитивна присутствующая в вас жизненная сила каждому человеку потенциально дано обрести абсолютный покой и чувство удовлетворения,0.0476,0.0063,12.3,21
людям с античных времен были известны основные химические элементы такие как золото серебро и медь поскольку их все можно встретить в природе в чистом виде и относительно легко добывать с помощью примитивных орудий,людям с античных времен были известны основные химические элементы такие как золото серебро и медь поскольку их все можно встретить в природе в чистом виде и относительно легко добывать с помощью примитивных орудий,0.0,0.0,20.04,33
за ночь было изготовлено 150200 копий теперь известных как листовки данлэпа,за ночь было изготовлено 150200 копий теперь известных как листовки данлопа,0.0909,0.0133,8.16,11
