ref,hyp,wer,cer,duration_sec,n_ref_words
в древнем китае использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особой династией,в древнем китай использовали уникальный способ обозначения передов времени каждый этап китай или каждое семья находившаяся у власти были особо династии,0.2857,0.0584,16.92,21
мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,модогаскар намного больше других и является самобытным континентом в то что касается дикой природы,0.1429,0.0303,11.52,14
во всех научных вопросах включая психологию были приняты взгляды аристотеля,во всех научных вопросах включая психологию были приняты взгляды рестотеля,0.1,0.0267,8.64,10
в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией,в различных местах рима были установлены большей телевизионные экраны с помощью которых люди могли наблюдать с ремонией,0.1765,0.0492,7.92,17
причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана катрина который некоторые фискальные консерваторы в шутку назвали новоорлеанской сделкой буша,причиной дебатов стали разногласия относительно затратно оказания материальной поддержки и восстановления станей после урогана катрина который некоторые фискальные консерваторы в шутку назвали новарлянской сделкой буши,0.3077,0.0588,19.44,26
в 1990 году он был добавлен в список всемирного наследия находящегося под угрозой изза опасности со стороны песков пустыни,в 1990 году он был добавлен в список в семерного наследия находящаяся под огроза из опасности со стороны писков пустыни,0.3158,0.0902,10.44,19
согласно ядерному управлению японии на заводе были обнаружены радиоактивный цезий и йод,соклассной ядерному управлению епонии на заводе были обнаружены радиоактивной цивей иют,0.5,0.1379,7.2,12
надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путём активного отклика на интернетматериалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы оравек 2002,на длижащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернетматериалы учащейся могут определять свою позицию в контексте чужих работ а также излагарь свой собственный эксклядный наканкетные вопросы,0.3243,0.1018,27.0,37
только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации гдето ещё могут привести к гибели клеток или раку,только мутации в клетках зародашего линии могут передаваться далее где это может привести гиблик леток или раку,0.5417,0.2945,11.52,24
не оскверняйте это место нанося или выцарапывая граффити на объекты вокруг,не оскверняйте это место но вся или выцироповая графитина объекта вокруг,0.5455,0.1216,5.94,11
когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации то могут проявиться креативность и изобретательность,когда все доступные ресурсы эффективно используются в всех функциональных подразделения организации то могут появиться креативность и изобретательность,0.1765,0.0195,15.12,17
серия asus eee pc ранее представленная во всём мире с ориентацией на такие факторы как экономия средств и функциональность стала горячей темой во время месяца информационных технологий в тайбэе в 2007 году,серия asus и pc ранее представленная во всем мире сориноцией на такие факторы как экономия средств и функциональность стало горячей темы во время месяца информационных технологий в тайбе 2007 году,0.25,0.0683,16.32,32
переносчиками являются свиньи от которых через комаров болезнь затем передаётся человеку,переночками являются свиньи вот которых через кумуров болезнят затем передается человеку,0.4545,0.0909,7.92,11
также может быть выгодно купить wild card которая позволяет посещать национальные парки юар либо выборочно либо все,также может быть выходным купить вилкар которая позволяет посещать национальные парки и ор либо выброшну либо все,0.3529,0.1565,9.18,17
только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации гдето ещё могут привести к гибели клеток или раку,только мутации в клетках зародышевые линии могут передаваться далее детям в то время к мутации гдето еще могут привести гиблик лет о клираку,0.3333,0.0959,11.28,24
энергия кундалини энергия просветления в кундалинийоге пробуждается через позы йоги дыхательные упражнения мантры и визуализации,анария кундалине анария просветления в кундалине йойе пробуждается через позиогие дыхательные упражнения мантр и визолизации,0.6,0.1328,11.82,15
султан марокко перестроил город под названием эддарэльбейда а испанские торговцы создавшие тут торговые базы назвали его касабланка,сультан морока перестроил город по названием эдар эльбейда айспанский торговц создавший тут торговый базов назвали его косабланка,0.6471,0.1221,11.76,17
так же как луна притягивает землю при этом вызывая приливы так и млечный путь воздействует на галактику в стрельце,также как луна претягивает землю при этом вызывая приливы так и млеечный путь воздействует на галактику стрельцы,0.3158,0.0526,8.28,19
в частности утверждается что можно определить лжет ли человек при помощи правильной интерпретации его микровыражений,в частности кто ожидается что можно определить в жот лечеловек при помощи правильной интерпретации его микроворожений,0.4,0.1034,8.34,15
53летний куомо начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце,503 лет никого начался в seu деятельность на постугубернатора в начале этого года и подписался законопроект олегализации на полых браков прошлом месяце,0.5909,0.1589,11.64,22
большинство зданий по краям комплекса было перестроено чтобы дать туристам более точное представление о том как они выглядели изначально,большинство зданий по краям комплекса было перестроено чтобы дать туристам более точное представление о том как они выгляли изначально,0.0526,0.0147,11.34,19
лаккха сингх исполнил чхаппан бхог бхаджан певец раджу кханделвал пел вместе с ним,лак и синхис полнил чхапан хоп хаджан вец раджу кханделвал пил вместе с ним,0.6923,0.1585,8.88,13
показатель ph определяется степенью насыщенности ионами водорода h в ph исследуемого химического соединения,показатель пиаж определяется с крепими у насыщенности и онами водорода аж пиаж исследоваем его в ахимического соединения,0.9231,0.2523,9.72,13
в результате актёры курят косяки с марихуаной на сцене и сам театр поощряет публику присоединиться,в результате актера куляет косики с морехоны на сцене и сам театр поощряет публику при сайдинице,0.4,0.1837,7.56,15
обычные объявления в метро делаются только на каталонском языке но незапланированные перебои объявляются автоматизированной системой на самых разных языках включая испанский английский французский арабский и японский,обучные объявления в метро делаются только на католонском языке но не запланированные перебои объявляются автоматизированные системы на самых разных языках включая испанский англинский французский арабский и японский,0.2692,0.037,17.46,26
учёные надеются понять как образуются планеты особенно то как образовалась земля поскольку кометы сталкивались с землёй очень давно,ученые надеются понять как образуется планета особенно то как образовалась земля поскольку кометы сталкивались землей очень давно,0.2778,0.0458,9.6,18
между 1000 и 1100 вечера по горному времени заключенные устроили пожар во дворе,между 10ю и 11 вечера по горному времени заключенные устроили пожар в одворе,0.3077,0.0759,8.04,13
